Serial No.		Street Name				Closure type
2020			701 n. sacramento			No Street full closure
2021			10300 s. doty			No Street full closure
2022			10300 s. doty			No Street full closure
2023			10300 s. doty			No Street full closure
2024			701 n. sacramento			No Street full closure
2025			10300 s. doty			No Street full closure
2026			10300 s. doty			No Street full closure
2027			701 n. sacramento			No Street full closure
2028			10300 s. doty			No Street full closure
2029			701 n. sacramento			No Street full closure
2030			10300 s. doty			No Street full closure
2031			10300 s. doty			No Street full closure
2032			701 n. sacramento			No Street full closure
2033			10300 s. doty			No Street full closure
2034			701 n. sacramento			No Street full closure
2035			10300 s. doty			No Street full closure
2036			10300 s. doty			No Street full closure
2037			701 n. sacramento			No Street full closure
2038			701 n. sacramento			No Street full closure
2039			10300 s. doty			No Street full closure
2040			10300 s. doty			No Street full closure
2041			701 n. sacramento			No Street full closure
2042			10300 s. doty			No Street full closure
2043			10300 s. doty			No Street full closure
2044			10300 s. doty			No Street full closure
2045			701 n. sacramento			No Street full closure
2046			10300 s. doty			No Street full closure
2047			10300 s. doty			No Street full closure
2048			10300 s. doty			No Street full closure
2049			701 n. sacramento			No Street full closure
2050			10300 s. doty			No Street full closure
2051			10300 s. doty			No Street full closure
2052			10300 s. doty			No Street full closure
2053			10300 s. doty			No Street full closure
2054			10300 s. doty			No Street full closure
2055			10300 s. doty			No Street full closure
2056			10300 s. doty			No Street full closure
2057			10300 s. doty			No Street full closure
2058			10300 s. doty			No Street full closure
2059			10300 s. doty			No Street full closure
2060			10300 s. doty			No Street full closure
2061			10300 s. doty			No Street full closure
2062			10300 s. doty			No Street full closure
2063			10300 s. doty			No Street full closure
2064			10300 s. doty			No Street full closure
2065			10300 s. doty			No Street full closure
2066			10300 s. doty			No Street full closure
2067			10300 s. doty			No Street full closure
2068			10300 s. doty			No Street full closure
2069			10300 s. doty			No Street full closure
2070			701 n. sacramento			No Street full closure
2071			10300 s. doty			No Street full closure
2072			10300 s. doty			No Street full closure
2073			10300 s. doty			No Street full closure
2074			10300 s. doty			No Street full closure
2075			10300 s. doty			No Street full closure
2076			10300 s. doty			No Street full closure
2077			10300 s. doty			No Street full closure
2078			701 n. sacramento			No Street full closure
2079			701 n. sacramento			No Street full closure
2080			701 n. sacramento			No Street full closure
2081			10300 s. doty			No Street full closure
2082			701 n. sacramento			No Street full closure
2083			701 n. sacramento			No Street full closure
2084			10300 s. doty			No Street full closure
2085			10300 s. doty			No Street full closure
2086			10300 s. doty			No Street full closure
2087			701 n. sacramento			No Street full closure
2088			10300 s. doty			No Street full closure
2089			10300 s. doty			No Street full closure
2090			701 n. sacramento			No Street full closure
2091			10300 s. doty			No Street full closure
2092			10300 s. doty			No Street full closure
2093			10300 s. doty			No Street full closure
2094			10300 s. doty			No Street full closure
2095			10300 s. doty			No Street full closure
2096			10300 s. doty			No Street full closure
2097			701 n. sacramento			No Street full closure
2098			10300 s. doty			No Street full closure
2099			10300 s. doty			No Street full closure
2100			10300 s. doty			No Street full closure
2101			10300 s. doty			No Street full closure
2102			10300 s. doty			No Street full closure
2103			701 n. sacramento			No Street full closure
2104			10300 s. doty			No Street full closure
2105			10300 s. doty			No Street full closure
2106			701 n. sacramento			No Street full closure
2107			10300 s. doty			No Street full closure
2108			10300 s. doty			No Street full closure
2109			10300 s. doty			No Street full closure
2110			10300 s. doty			No Street full closure
2111			701 n. sacramento			No Street full closure
2112			701 n. sacramento			No Street full closure
2113			701 n. sacramento			No Street full closure
2114			701 n. sacramento			No Street full closure
2115			10300 s. doty			No Street full closure
2116			701 n. sacramento			No Street full closure
2117			10300 s. doty			No Street full closure
2118			10300 s. doty			No Street full closure
2119			701 n. sacramento			No Street full closure
2120			701 n. sacramento			No Street full closure
2121			10300 s. doty			No Street full closure
2122			701 n. sacramento			No Street full closure
2123			701 n. sacramento			No Street full closure
2124			701 n. sacramento			No Street full closure
2125			701 n. sacramento			No Street full closure
2126			10300 s. doty			No Street full closure
2127			701 n. sacramento			No Street full closure
2128			701 n. sacramento			No Street full closure
2129			10300 s. doty			No Street full closure
2130			701 n. sacramento			No Street full closure
2131			10300 s. doty			No Street full closure
2132			10300 s. doty			No Street full closure
2133			10300 s. doty			No Street full closure
2134			10300 s. doty			No Street full closure
2135			10300 s. doty			No Street full closure
2136			10300 s. doty			No Street full closure
2137			10300 s. doty			No Street full closure
2138			701 n. sacramento			No Street full closure
2139			701 n. sacramento			No Street full closure
2140			701 n. sacramento			No Street full closure
2141			701 n. sacramento			No Street full closure
2142			701 n. sacramento			No Street full closure
2143			701 n. sacramento			No Street full closure
2144			701 n. sacramento			No Street full closure
2145			701 n. sacramento			No Street full closure
2146			701 n. sacramento			No Street full closure
2147			701 n. sacramento			No Street full closure
2148			701 n. sacramento			No Street full closure
2149			10300 s. doty			No Street full closure
2150			10300 s. doty			No Street full closure
2151			701 n. sacramento			No Street full closure
2152			701 n. sacramento			No Street full closure
2153			701 n. sacramento			No Street full closure
2154			701 n. sacramento			No Street full closure
2155			10300 s. doty			No Street full closure
2156			701 n. sacramento			No Street full closure
2157			701 n. sacramento			No Street full closure
2158			701 n. sacramento			No Street full closure
2159			701 n. sacramento			No Street full closure
2160			701 n. sacramento			No Street full closure
2161			701 n. sacramento			No Street full closure
2162			701 n. sacramento			No Street full closure
2163			10300 s. doty			No Street full closure
2164			701 n. sacramento			No Street full closure
2165			10300 s. doty			No Street full closure
2166			10300 s. doty			No Street full closure
2167			701 n. sacramento			No Street full closure
2168			701 n. sacramento			No Street full closure
2169			10300 s. doty			No Street full closure
2170			701 n. sacramento			No Street full closure
2171			701 n. sacramento			No Street full closure
2172			10300 s. doty			No Street full closure
2173			701 n. sacramento			No Street full closure
2174			701 n. sacramento			No Street full closure
2175			701 n. sacramento			No Street full closure
2176			10300 s. doty			No Street full closure
2177			10300 s. doty			No Street full closure
2178			701 n. sacramento			No Street full closure
2179			701 n. sacramento			No Street full closure
2180			10300 s. doty			No Street full closure
2181			701 n. sacramento			No Street full closure
2182			10300 s. doty			No Street full closure
2183			10300 s. doty			No Street full closure
2184			701 n. sacramento			No Street full closure
2185			701 n. sacramento			No Street full closure
2186			10300 s. doty			No Street full closure
2187			10300 s. doty			No Street full closure
2188			701 n. sacramento			No Street full closure
2189			10300 s. doty			No Street full closure
2190			701 n. sacramento			No Street full closure
2191			701 n. sacramento			No Street full closure
2192			10300 s. doty			No Street full closure
2193			701 n. sacramento			No Street full closure
2194			10300 s. doty			No Street full closure
2195			10300 s. doty			No Street full closure
2196			10300 s. doty			No Street full closure
2197			701 n. sacramento			No Street full closure
2198			701 n. sacramento			No Street full closure
2199			701 n. sacramento			No Street full closure
2200			10300 s. doty			No Street full closure
2201			10300 s. doty			No Street full closure
2202			701 n. sacramento			No Street full closure
